"Year","State","TOTAL.POPULATION","SLAVES","Type","FEMALE.SLAVES","MALES.SLAVES","TOTAL.SLAVES","TOTAL.FEMALE.SLAVES","TOTAL.MALE.SLAVES","AGGR..SLAVES"
1870,"FLORIDA",187748,NA,"State",NA,NA,NA,NA,NA,NA
1870,"GEORGIA",1184109,NA,"State",NA,NA,NA,NA,NA,NA
1870,"ILLINOIS",2539891,NA,"State",NA,NA,NA,NA,NA,NA
1870,"INDIANA",1680637,NA,"State",NA,NA,NA,NA,NA,NA
1870,"IOWA",1194020,NA,"State",NA,NA,NA,NA,NA,NA
1870,"KANSAS",364399,NA,"State",NA,NA,NA,NA,NA,NA
1870,"KENTUCKY",1321011,NA,"State",NA,NA,NA,NA,NA,NA
1870,"LOUISIANA",726915,NA,"State",NA,NA,NA,NA,NA,NA
1870,"MAINE",626915,NA,"State",NA,NA,NA,NA,NA,NA
1870,"MARYLAND",780894,NA,"State",NA,NA,NA,NA,NA,NA
1870,"MASSACHUSETTS",1457351,NA,"State",NA,NA,NA,NA,NA,NA
1870,"MICHIGAN",1184059,NA,"State",NA,NA,NA,NA,NA,NA
1870,"MINNESOTA",439706,NA,"State",NA,NA,NA,NA,NA,NA
1870,"MISSISSIPPI",827922,NA,"State",NA,NA,NA,NA,NA,NA
1870,"MISSOURI",1721295,NA,"State",NA,NA,NA,NA,NA,NA
1870,"NEBRASKA",122993,NA,"State",NA,NA,NA,NA,NA,NA
1870,"NEVADA",42491,NA,"State",NA,NA,NA,NA,NA,NA
1870,"NEW HAMPSHIRE",318300,NA,"State",NA,NA,NA,NA,NA,NA
1870,"NEW JERSEY",906096,NA,"State",NA,NA,NA,NA,NA,NA
1870,"NEW YORK",4382759,NA,"State",NA,NA,NA,NA,NA,NA
1870,"NORTH CAROLINA",1071361,NA,"State",NA,NA,NA,NA,NA,NA
1870,"OHIO",2665260,NA,"State",NA,NA,NA,NA,NA,NA
1870,"OREGON",90923,NA,"State",NA,NA,NA,NA,NA,NA
1870,"PENNSYLVANIA",3521951,NA,"State",NA,NA,NA,NA,NA,NA
1870,"RHODE ISLAND",217353,NA,"State",NA,NA,NA,NA,NA,NA
1870,"SOUTH CAROLINA",705606,NA,"State",NA,NA,NA,NA,NA,NA
1870,"TENNESSEE",1258520,NA,"State",NA,NA,NA,NA,NA,NA
1870,"TEXAS",818579,NA,"State",NA,NA,NA,NA,NA,NA
1870,"VERMONT",330551,NA,"State",NA,NA,NA,NA,NA,NA
1870,"VIRGINIA",1225163,NA,"State",NA,NA,NA,NA,NA,NA
1870,"WEST VIRGINIA",442014,NA,"State",NA,NA,NA,NA,NA,NA
1870,"WISCONSIN",1054670,NA,"State",NA,NA,NA,NA,NA,NA
1880,"ALABAMA",1262505,NA,"State",NA,NA,NA,NA,NA,NA
1880,"ARKANSAS",802525,NA,"State",NA,NA,NA,NA,NA,NA
1880,"CALIFORNIA",864694,NA,"State",NA,NA,NA,NA,NA,NA
1880,"COLORADO",194327,NA,"State",NA,NA,NA,NA,NA,NA
1880,"CONNECTICUT",622700,NA,"State",NA,NA,NA,NA,NA,NA
1880,"DELAWARE",146608,NA,"State",NA,NA,NA,NA,NA,NA
1880,"FLORIDA",269493,NA,"State",NA,NA,NA,NA,NA,NA
1880,"GEORGIA",1542180,NA,"State",NA,NA,NA,NA,NA,NA
1880,"ILLINOIS",3077871,NA,"State",NA,NA,NA,NA,NA,NA
1880,"INDIANA",1978301,NA,"State",NA,NA,NA,NA,NA,NA
1880,"IOWA",1624615,NA,"State",NA,NA,NA,NA,NA,NA
1880,"KANSAS",996096,NA,"State",NA,NA,NA,NA,NA,NA
1880,"KENTUCKY",1648690,NA,"State",NA,NA,NA,NA,NA,NA
1880,"LOUISIANA",939946,NA,"State",NA,NA,NA,NA,NA,NA
1880,"MAINE",648936,NA,"State",NA,NA,NA,NA,NA,NA
1880,"MARYLAND",934943,NA,"State",NA,NA,NA,NA,NA,NA
1880,"MASSACHUSETTS",1783085,NA,"State",NA,NA,NA,NA,NA,NA
1880,"MICHIGAN",1636937,NA,"State",NA,NA,NA,NA,NA,NA
1880,"MINNESOTA",780773,NA,"State",NA,NA,NA,NA,NA,NA
1880,"MISSISSIPPI",1131597,NA,"State",NA,NA,NA,NA,NA,NA
1880,"MISSOURI",2168380,NA,"State",NA,NA,NA,NA,NA,NA
1880,"NEBRASKA",452402,NA,"State",NA,NA,NA,NA,NA,NA
1880,"NEVADA",62266,NA,"State",NA,NA,NA,NA,NA,NA
1880,"NEW HAMPSHIRE",346991,NA,"State",NA,NA,NA,NA,NA,NA
1880,"NEW JERSEY",1131116,NA,"State",NA,NA,NA,NA,NA,NA
1880,"NEW YORK",5082871,NA,"State",NA,NA,NA,NA,NA,NA
1880,"NORTH CAROLINA",1399750,NA,"State",NA,NA,NA,NA,NA,NA
1880,"OHIO",3198062,NA,"State",NA,NA,NA,NA,NA,NA
1880,"OREGON",174768,NA,"State",NA,NA,NA,NA,NA,NA
1880,"PENNSYLVANIA",4282891,NA,"State",NA,NA,NA,NA,NA,NA
1880,"RHODE ISLAND",276531,NA,"State",NA,NA,NA,NA,NA,NA
1880,"SOUTH CAROLINA",995577,NA,"State",NA,NA,NA,NA,NA,NA
1880,"TENNESSEE",1542359,NA,"State",NA,NA,NA,NA,NA,NA
1880,"TEXAS",1591749,NA,"State",NA,NA,NA,NA,NA,NA
1880,"VERMONT",332286,NA,"State",NA,NA,NA,NA,NA,NA
1880,"VIRGINIA",1512565,NA,"State",NA,NA,NA,NA,NA,NA
1880,"WEST VIRGINIA",618457,NA,"State",NA,NA,NA,NA,NA,NA
1880,"WISCONSIN",1315497,NA,"State",NA,NA,NA,NA,NA,NA
1890,"ALABAMA",1513017,NA,"State",NA,NA,NA,NA,NA,NA
1890,"ARKANSAS",1128179,NA,"State",NA,NA,NA,NA,NA,NA
1890,"CALIFORNIA",1208130,NA,"State",NA,NA,NA,NA,NA,NA
1890,"COLORADO",412198,NA,"State",NA,NA,NA,NA,NA,NA
1890,"CONNECTICUT",746258,NA,"State",NA,NA,NA,NA,NA,NA
1890,"DELAWARE",168493,NA,"State",NA,NA,NA,NA,NA,NA
1890,"FLORIDA",391422,NA,"State",NA,NA,NA,NA,NA,NA
1890,"GEORGIA",1837353,NA,"State",NA,NA,NA,NA,NA,NA
1890,"IDAHO",84385,NA,"State",NA,NA,NA,NA,NA,NA
1890,"ILLINOIS",3826351,NA,"State",NA,NA,NA,NA,NA,NA
1890,"INDIANA",2192404,NA,"State",NA,NA,NA,NA,NA,NA
1890,"IOWA",1911896,NA,"State",NA,NA,NA,NA,NA,NA
1890,"KANSAS",1427096,NA,"State",NA,NA,NA,NA,NA,NA
1890,"KENTUCKY",1858635,NA,"State",NA,NA,NA,NA,NA,NA
1890,"LOUISIANA",1118587,NA,"State",NA,NA,NA,NA,NA,NA
1890,"MAINE",661086,NA,"State",NA,NA,NA,NA,NA,NA
1890,"MARYLAND",1042390,NA,"State",NA,NA,NA,NA,NA,NA
1890,"MASSACHUSETTS",2238943,NA,"State",NA,NA,NA,NA,NA,NA
1890,"MICHIGAN",2093889,NA,"State",NA,NA,NA,NA,NA,NA
1890,"MINNESOTA",1301826,NA,"State",NA,NA,NA,NA,NA,NA
1890,"MISSISSIPPI",1289600,NA,"State",NA,NA,NA,NA,NA,NA
1890,"MISSOURI",2679184,NA,"State",NA,NA,NA,NA,NA,NA
1890,"MONTANA",132159,NA,"State",NA,NA,NA,NA,NA,NA
1890,"NEBRASKA",1058910,NA,"State",NA,NA,NA,NA,NA,NA
1890,"NEVADA",45761,NA,"State",NA,NA,NA,NA,NA,NA
1890,"NEW HAMPSHIRE",376530,NA,"State",NA,NA,NA,NA,NA,NA
1890,"NEW JERSEY",1444933,NA,"State",NA,NA,NA,NA,NA,NA
1890,"NEW YORK",5997853,NA,"State",NA,NA,NA,NA,NA,NA
1890,"NORTH CAROLINA",1617947,NA,"State",NA,NA,NA,NA,NA,NA
1890,"NORTH DAKOTA",182719,NA,"State",NA,NA,NA,NA,NA,NA
1890,"OHIO",3672316,NA,"State",NA,NA,NA,NA,NA,NA
1890,"OREGON",313767,NA,"State",NA,NA,NA,NA,NA,NA
1890,"PENNSYLVANIA",5258014,NA,"State",NA,NA,NA,NA,NA,NA
1890,"RHODE ISLAND",345506,NA,"State",NA,NA,NA,NA,NA,NA
1890,"SOUTH CAROLINA",1151149,NA,"State",NA,NA,NA,NA,NA,NA
1890,"SOUTH DAKOTA",328808,NA,"State",NA,NA,NA,NA,NA,NA
1890,"TENNESSEE",1767518,NA,"State",NA,NA,NA,NA,NA,NA
1890,"TEXAS",2235523,NA,"State",NA,NA,NA,NA,NA,NA
1890,"UTAH",207905,NA,"Territory",NA,NA,NA,NA,NA,NA
1890,"VERMONT",332422,NA,"State",NA,NA,NA,NA,NA,NA
1890,"VIRGINIA",1655980,NA,"State",NA,NA,NA,NA,NA,NA
1890,"WASHINGTON",349390,NA,"State",NA,NA,NA,NA,NA,NA
1890,"WEST VIRGINIA",762794,NA,"State",NA,NA,NA,NA,NA,NA
1890,"WISCONSIN",1686880,NA,"State",NA,NA,NA,NA,NA,NA
1890,"WYOMING",60705,NA,"State",NA,NA,NA,NA,NA,NA
